,Title,congress_num,Legislation Number,URL,Date of Introduction,Latest Action Date,Sponsor,Number of Cosponsors,Committees,allsubjects,summary,passed,officehistorian,tag_reform,tag_financial,financial type,tag_workforce,tag_foreign,tag_aid,tag_dod,tag_other
68,A joint resolution relative to telephone rates and procedures for Operation Desert Storm personnel.,102,S.J.Res. 77,https://www.congress.gov/bill/102nd-congress/senate-joint-resolution/77,2/21/91,4/29/91,"Dole, Robert J. [Sen.-R-KS]",27,"House - Energy and Commerce, Foreign Affairs | Senate - Commerce, Science, and Transportation","Armed forces abroad, Government Operations and Politics, International Affairs, Iraq, Kuwait, Military intervention, Military occupation, Persian Gulf, Persian Gulf War, Saudi Arabia, Telephone rates",-,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE
69,"A joint resolution to repeal section 614 of the Departments of Commerce, Justice, and State, the Judiciary, and Related Agencies Appropriations Act, 1990, and section 302 of the Foreign Relations Authorization Act, Fiscal Years 1990 and 1991.",101,S.J.Res. 244,https://www.congress.gov/bill/101st-congress/senate-joint-resolution/244,1/30/90,1/30/90,"Hollings, Ernest F. [Sen.-D-SC]",1,Senate - Appropriations,"Appropriations, Economics and Public Finance, Government Operations and Politics, International Affairs, International broadcasting",-,FALSE,FALSE,FALSE,TRUE,DOS,FALSE,TRUE,FALSE,FALSE,FALSE
70,"A resolution authorizing the Committee on Foreign Affairs to conduct a full and complete investigation of matters relating to the laws, regulations, directives, and policies including personnel pertaining to Department of State and such other departments and agencies engaged in the implementation of United States foreign policy and the oversea operations, personnel, and facilities of departments and agencies of the United States which participate in the development and execution of such policy.",93,H.Res. 267,https://www.congress.gov/bill/93rd-congress/house-resolution/267,3/5/73,3/6/73,"Morgan, Thomas E. [Rep.-D-PA-22]",0,House - Rules,"Congress, Congressional committees, Congressional committees (House), House of Representatives",-,FALSE,TRUE,FALSE,TRUE,DOS,TRUE,TRUE,FALSE,FALSE,FALSE
71,A resolution calling on the Department of State to investigate allegations that the provisions of the Biological Weapons Convention of 1972 are being violated by a principle signatory to that Convention.,95,H.Res. 1026,https://www.congress.gov/bill/95th-congress/house-resolution/1026,2/15/78,2/15/78,"Emery, David F. [Rep.-R-ME-1]",0,House - International Relations,"Armed Forces and National Security, Arms control, Arms control agreements, Biological warfare, International Affairs, International agencies, Treaties, United Nations",-,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE
72,A resolution commending career professionals at the Department of State for their extensive efforts to repatriate United States citizens and legal permanent residents during the COVID-19 pandemic.,116,S.Res. 567,https://www.congress.gov/bill/116th-congress/senate-resolution/567,5/7/20,6/11/20,"Menendez, Robert [Sen.-D-NJ]",12,Senate - Foreign Relations,"Aviation and airports, Cardiovascular and respiratory health, Congressional tributes, Department of State, International Affairs, Emergency medical services and trauma care, Emergency planning and evacuation, Government employee pay, benefits, personnel management, Infectious and parasitic diseases, Diplomacy, foreign officials, Americans abroad","This resolution commends and thanks the Department of State career professionals, the Repatriation Task Force, and the employees at U.S. embassies and consulates worldwide for their work to address the challenges related to COVID-19 (i.e., coronavirus disease 2019) and to facilitate the repatriation of U.S. citizens and lawful permanent residents.",FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE
73,"A resolution designating May 5, 2023, as ""United States Foreign Service Day"" in recognition of the men and women who have served, or are presently serving, in the Foreign Service of the United States, and honoring the members of the Foreign Service who have given their lives in the line of duty.",118,S.Res. 199,https://www.congress.gov/bill/118th-congress/senate-resolution/199,5/4/23,5/4/23,"Sullivan, Dan [Sen.-R-AK]",1,-,"International Affairs, Congressional tributes, Commemorative events and holidays, Government employee pay, benefits, personnel management, Department of State, Diplomacy, foreign officials, Americans abroad",-,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE
74,"A resolution designating May 6, 2022, as ""United States Foreign Service Day"" in recognition of the men and women who have served, or are presently serving, in the Foreign Service of the United States, and honoring the members of the Foreign Service who have given their lives in the line of duty.",117,S.Res. 627,https://www.congress.gov/bill/117th-congress/senate-resolution/627,5/10/22,5/10/22,"Sullivan, Dan [Sen.-R-AK]",5,-,"International Affairs, Department of State, Congressional tributes, Government employee pay, benefits, personnel management, Commemorative events and holidays, Diplomacy, foreign officials, Americans abroad","This resolution designates May 6, 2022, as United States Foreign Service Day and honors the men and women who serve in the Foreign Service.",FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE
75,"A resolution designating May 7, 2021, as ""United States Foreign Service Day"" in recognition of the men and women who have served, or are presently serving, in the Foreign Service of the United States, and honoring the members of the Foreign Service who have given their lives in the line of duty.",117,S.Res. 202,https://www.congress.gov/bill/117th-congress/senate-resolution/202,4/29/21,8/9/21,"Sullivan, Dan [Sen.-R-AK]",11,Senate - Judiciary,"International Affairs, Diplomacy, foreign officials, Americans abroad, Commemorative events and holidays, Department of State, Congressional tributes, Government employee pay, benefits, personnel management","This resolution designates May 7, 2021, as United States Foreign Service Day and honors the men and women who serve in the Foreign Service.",FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE
76,A resolution expressing appreciation for Foreign Service and Civil Service professionals who represent the United States around the globe.,112,S.Res. 401,https://www.congress.gov/bill/112th-congress/senate-resolution/401,3/21/12,9/13/12,"Whitehouse, Sheldon [Sen.-D-RI]",10,Senate - Foreign Relations,"Congressional tributes, Department of State, Diplomacy, foreign officials, Americans abroad, Government employee pay, benefits, personnel management, International Affairs, U.S. Agency for International Development (USAID)",-,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE
77,"A resolution honoring the Employees of the Department of State and the United States Agency for International Development, and for other purposes.",116,S.Res. 453,https://www.congress.gov/bill/116th-congress/senate-resolution/453,12/12/19,12/12/19,"Menendez, Robert [Sen.-D-NJ]",9,Senate - Foreign Relations,"International Affairs, Diplomacy, foreign officials, Americans abroad, Department of State, Congressional-executive branch relations, Congressional tributes, Congressional oversight, Employment discrimination and employee rights, Evidence and witnesses, Foreign aid and international relief, Government employee pay, benefits, personnel management, U.S. Agency for International Development (USAID), Legal fees and court costs",This resolution honors the employees of the Department of State and the U.S. Agency for International Development. The resolution calls on the State Department to afford the appropriate assistance and protections to its employees.,FALSE,TRUE,FALSE,TRUE,DOS,FALSE,FALSE,FALSE,FALSE,FALSE
78,"A resolution providing for the consideration of (S. 1193).  A bill to authorize appropriations for fiscal years 1982 and 1983 for the Department of State, the International Communication Agency, and the Board for International Broadcasting, and for other purposes.",97,H.Res. 257,https://www.congress.gov/bill/97th-congress/house-resolution/257,10/27/81,10/29/81,"Moakley, John Joseph [Rep.-D-MA-9]",0,House - Rules,"Bill consideration (Rule), Congress, House of Representatives, House rules and procedure",-,FALSE,TRUE,FALSE,TRUE,DOS,FALSE,FALSE,FALSE,FALSE,FALSE
79,"A resolution providing for the consideration of H. R. 6689, a bill to authorize fiscal year l978 appropriations for the Department of State, the U. S. Information Agency, and the Board for International Broadcasting, to make certain changes in the Foreign Service personnel system.",95,H.Res. 537,https://www.congress.gov/bill/95th-congress/house-resolution/537,5/3/77,5/4/77,"Murphy, Morgan F. [Rep.-D-IL-2]",0,House - Rules,"Bill consideration (Rule), Congress, House of Representatives, House rules and procedure",-,FALSE,TRUE,FALSE,TRUE,DOS,TRUE,FALSE,FALSE,FALSE,FALSE
80,"A resolution providing for the consideration of H.R. 12598, Foreign Relations Authorization Act for fiscal year 1979.",95,H.Res. 1204,https://www.congress.gov/bill/95th-congress/house-resolution/1204,5/25/78,5/31/78,"Pepper, Claude [Rep.-D-FL-14]",0,House - Rules,"Bill consideration (Rule), Congress, House of Representatives, House rules and procedure",-,FALSE,FALSE,FALSE,TRUE,DOS,FALSE,TRUE,FALSE,FALSE,FALSE
81,"A resolution providing for the consideration of H.R. 3363 to authorize appropriations for fiscal years 1980 and 1981 for the Department of State, the International Communication Agency, and the Board for International Broadcasting.",96,H.Res. 217,https://www.congress.gov/bill/96th-congress/house-resolution/217,4/9/79,4/10/79,"Beilenson, Anthony C. [Rep.-D-CA-23]",0,House - Rules,"Bill consideration (Rule), Congress, House of Representatives, House rules and procedure",-,FALSE,TRUE,FALSE,TRUE,DOS,FALSE,FALSE,FALSE,FALSE,FALSE
82,"A resolution providing for the consideration of H.R. 5040, a bill to authorize additional appropriations for the Department of State for fiscal year l977.",95,H.Res. 424,https://www.congress.gov/bill/95th-congress/house-resolution/424,3/22/77,3/24/77,"Dodd, Christopher J. [Rep.-D-CT-2]",0,House - Rules,"Bill consideration (Rule), Congress, House of Representatives, House rules and procedure",-,FALSE,TRUE,FALSE,TRUE,DOS,FALSE,FALSE,FALSE,FALSE,FALSE
83,"A resolution providing for the consideration of the bill (H.R. 1777) to authorize appropriations for fiscal years 1988 and 1989 for the Department of State, the United States Information Agency, and for other purposes.",100,H.Res. 190,https://www.congress.gov/bill/100th-congress/house-resolution/190,6/10/87,6/10/87,"Hall, Tony P. [Rep.-D-OH-3]",0,House - Rules,"Bill consideration (Rule), Congress, House of Representatives, House rules and procedure, International Affairs",-,FALSE,TRUE,FALSE,TRUE,DOS,FALSE,FALSE,FALSE,FALSE,FALSE
84,"A resolution providing for the consideration of the bill (H.R. 2068) to authorize appropriations for fiscal years 1986 and 1987 for the Department of State, the United States Information Agency, the Board of International Broadcasting, and for other purposes.",99,H.Res. 137,https://www.congress.gov/bill/99th-congress/house-resolution/137,4/18/85,4/25/85,"Bonior, David E. [Rep.-D-MI-12]",0,House - Rules,"Authorization, Bill consideration (Rule), Congress, Government Operations and Politics, House of Representatives, House rules and procedure",-,FALSE,TRUE,FALSE,TRUE,DOS,FALSE,FALSE,FALSE,FALSE,FALSE
85,"A resolution providing for the consideration of the bill (H.R. 2915) to authorize appropriations for fiscal years 1984 and 1985 for the Department of State, the United States Information Agency, the Board for International Broadcasting, the Inter-American Foundation, and the Asia Foundation, to establish the National Endowment for Democracy, and for other purposes.",98,H.Res. 198,https://www.congress.gov/bill/98th-congress/house-resolution/198,5/17/83,6/9/83,"Hall, Tony P. [Rep.-D-OH-3]",0,House - Rules,"Authorization, Bill consideration (Rule), Congress, Government Operations and Politics, House of Representatives, House rules and procedure",-,FALSE,TRUE,FALSE,TRUE,DOS,FALSE,FALSE,FALSE,FALSE,FALSE
86,"A resolution providing for the consideration of the bill (H.R. 3518) to authorize appropriations for fiscal years 1982 and 1983 for the Department of State, the International Communication Agency, and the Board for International Broadcasting, and for other purposes.",97,H.Res. 182,https://www.congress.gov/bill/97th-congress/house-resolution/182,7/16/81,9/17/81,"Hall, Tony P. [Rep.-D-OH-3]",0,House - Rules,"Bill consideration (Rule), Congress, House of Representatives, House rules and procedure",-,FALSE,TRUE,FALSE,TRUE,DOS,FALSE,FALSE,FALSE,FALSE,FALSE
87,"A resolution to designate May 22, 2014 as ""United States Foreign Service Day"" in recognition of the men and women who have served, or are presently serving, in the Foreign Service of the United States, and to honor those in the Foreign Service who have given their lives in the line of duty.",113,S.Res. 369,https://www.congress.gov/bill/113th-congress/senate-resolution/369,3/4/14,3/4/14,"Menendez, Robert [Sen.-D-NJ]",6,Senate - Judiciary,"Commemorative events and holidays, Congressional tributes, Department of State, Diplomacy, foreign officials, Americans abroad, International Affairs",-,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE
88,"A resolution waiving certain points of order against the conference report on the bill (S. 1193) to authorize appropriations for fiscal years 1982 and 1983 for the Department of State, the International Communication Agency, and the Board for International Broadcasting, and for other purposes.",97,H.Res. 548,https://www.congress.gov/bill/97th-congress/house-resolution/548,8/5/82,8/11/82,"Hall, Tony P. [Rep.-D-OH-3]",0,House - Rules,"Bill consideration (Rule), Congress, House of Representatives, House rules and procedure",-,FALSE,TRUE,FALSE,TRUE,DOS,FALSE,FALSE,FALSE,FALSE,FALSE
89,Accountability in Foreign Aid Act of 2014,113,H.R. 5673,https://www.congress.gov/bill/113th-congress/house-bill/5673,9/19/14,9/19/14,"Ellmers, Renee L. [Rep.-R-NC-2]",2,"House - Oversight and Government Reform, Foreign Affairs","Border security and unlawful immigration, Detention of persons, Education programs funding, Elementary and secondary education, Foreign aid and international relief, Immigrant health and welfare, Immigration, Intergovernmental relations, Law enforcement administration and funding, Right of privacy, State and local finance",-,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE,FALSE
90,"Admiral James W. Nance Foreign Relations Authorization Act, Fiscal Years 2000 and 2001",106,S. 886,https://www.congress.gov/bill/106th-congress/senate-bill/886,4/27/99,8/3/99,"Helms, Jesse [Sen.-R-NC]",0,Senate - Foreign Relations,"Congress, Congress and foreign policy, Congressional investigations, Congressional office buildings, Congressional oversight, Congressional reporting requirements, Congressional witnesses, Ocean floor, Palestinians, Parental kidnapping, Parents, Passports, Peace negotiations, Peacekeeping forces, Data banks, Democracy, Department of Commerce, Department of Defense, Department of Energy, Department of Justice, Department of State, Destruction of property, Disasters, Disciplining of employees, Discrimination in employment, Dismissal of employees, Dissenters, East Asia, East Timor, Eastern Europe, Economics and Public Finance, Education, Educational exchanges, Elementary and secondary education, Embassies, Emergency Management, Emergency medical services, Employee training, Energy, Environmental Protection, Estates (Law), Europe, Executive reorganization, Exhibitions, Explosives, Export controls, Extradition, Families, Federal advisory bodies, Federal law enforcement officers, Federal officials, Fees, Finance and Financial Sector, Supervisors, Surplus government property, Taiwan, Tax-deferred compensation plans, Taxation, Technology transfer, Terrorism, Torture, Tourism, Trade fairs, Transfer of employees, Transplantation of organs, tissues, etc., Transportation and Public Works, Morocco, NATO countries, Navigation satellites, Negotiations, Nepal, Nigeria, Nuclear Regulatory Commission, Nuclear exports, Nuclear facilities, Nuclear fuels, Nuclear industry, Nuclear nonproliferation, Nuclear weapons, United Nations officials, United Nations structure, Uranium, Victims, Vietnam, Visas, War crime trials, War crimes, Western Europe, Whistle blowing, Personnel management, Personnel records, Plutonium, Political prisoners, Political violence, President and foreign policy, Presidential appointments, Prisoners, Prosecution, Protection of foreign officials, Public corruption, Radio broadcasting, Rating of employees, Recruiting of employees, Referendum, Refugee policy, Refugees, Regionalism (International organization), Rehabilitation, Religion, Religious liberty, Repatriation, Reprogramming of appropriated funds, Rescission of appropriated funds, Research and development, Russia, Russians, Rwanda, Salaries, Scholarships, School choice, Science, Technology, Communications, Scientists in government, Scotland, Security measures, Seismology, Social Welfare, South Asia, Sovereignty, Sterilization (Birth control), Sudan, Foundations, Freedom of the press, Georgia (Republic), Gifts, Government liability, Government Operations and Politics, Government paperwork, Governmental investigations, Grievance procedures, Guardian and ward, U.S. Agency for International Development, U.S.S.R., United Kingdom, Travel costs, Treaties, Treaty-making power, United Nations, United Nations delegations, United Nations employees, United Nations finances, Independent regulatory commissions, Indonesia, Industrialization, Inspectors general, Insurgency, Inter-American Foundation, International Affairs, International agencies, International broadcasting, International competitiveness, International control of nuclear power, International cooperation, International cooperation in science, International courts, International employees, International fishery management, International labor activities, International military forces, Iran, Israel, Jews, Labor and Employment, Land mines, Language and languages, Latin America, Law, Leave of absence, Legislation, Legislative bodies, Libya, Licenses, Limitation of actions, Macau, Marine and coastal resources, fisheries, Marketing, Mexico, Middle East and North Africa, Military personnel, Military research, Military weapons, Minesweeping, Minorities, Missing children, Monuments and memorials, Compensation (Law), Compensation for victims of crime, Conferences, Financial disclosure, Financial statements, Firearms, Forced labor, Foreign exchange, Foreign leaders, Foreign service, Foreign Trade and International Finance, Abortion, Accounting, Administration of justice, Congressional-executive relations, Crime and Law Enforcement, Criminal investigation, Crisis management, Cuba, Cultural relations, Custody of children, Harbors, Health, Higher education, Hong Kong, Human rights, Immigrants, Immigration, Administrative fees, Administrative procedure, Administrative remedies, Advice and consent of the Senate, Africa (Sub-Saharan), Alien labor, Alien property, Alliances, American economic assistance, American military assistance, Americans employed in foreign countries, Americans in foreign countries, Arab-Israeli conflict, Armed Forces and National Security, Arms control agreements, Arms control negotiations, Arms control verification, Arms sales, Artificial satellites, Arts, Culture, Religion, Assassination, Auditing, Authorization, Awards, medals, prizes, Biological weapons, Bombings, Boundaries, Building construction, Business education, Business ethics, Canada, Capital cities, Capital punishment, Caribbean area, Central Intelligence Agency, Chemical weapons, Child abuse, Child labor, Children's rights, China, Civil Rights and Liberties, Minority Issues, Civil Service pensions, Civil-military relations, Commemorations, Commerce, Commercial aircraft, Communication satellites",-,FALSE,FALSE,FALSE,TRUE,DOS,FALSE,TRUE,FALSE,FALSE,FALSE
91,"Admiral James W. Nance and Meg Donovan Foreign Relations Authorization Act, Fiscal Years 2000 and 2001",106,H.R. 3427,https://www.congress.gov/bill/106th-congress/house-bill/3427,11/17/99,11/19/99,"Smith, Christopher H. [Rep.-R-NJ-4]",3,House - International Relations,"Salaries, Sanctions (International law), Scholarships, School choice, Science, Technology, Communications, Scientific exchanges, Scientists in government, Scotland, Security measures, Seismology, Sierra Leone, Social Welfare, South Asia, South Korea, Sovereignty, Sports and Recreation, State-sponsored terrorism, Sterilization (Birth control), Sudan, Supervisors, Surplus government property, Survivors' benefits, United Nations delegations, United Nations economic assistance, United Nations employees, United Nations finances, United Nations officials, United Nations structure, Uranium, Uranium enrichment, Uzbekistan, Valuation, Victims, Victims of terrorism, Vietnam, Visas, War crime trials, War crimes, Warships, Weapons of mass destruction, Legislative bodies, Libya, Licenses, Limitation of actions, Macau, Marine and coastal resources, fisheries, Maritime law, Marketing, Mexico, Middle East and North Africa, Military personnel, Military research, Military training, Military weapons, Families, Family planning and birth control, Federal advisory bodies, Federal employees, Federal law enforcement officers, Federal officials, Federal-local relations, Federal-state relations, Federally-guaranteed loans, Fees, Finance and Financial Sector, Financial disclosure, American military assistance, Americans employed in foreign countries, Americans in foreign countries, Physical fitness, Extradition, Minesweeping, Minorities, Minorities in government, Missing children, Moldova, Monuments and memorials, Morocco, NATO countries, Names, Navigation satellites, Negotiations, Nepal, Nigeria, Nongovernmental organizations, North Korea, Northern Ireland, Nuclear Regulatory Commission, Nuclear exports, Nuclear facilities, Nuclear fuels, Nuclear industry, Nuclear nonproliferation, Nuclear weapons, Ocean mining, Palestinians, Parent and child, Parental kidnapping, Western Europe, Whistle blowing, Women, Women in government, Rape victim services, Rating of employees, Reactor fuel reprocessing, Recruiting of employees, Referendum, Refugee policy, Refugees, Regionalism (International organization), Rehabilitation, Religion, Religious liberty, Repatriation, Reprogramming of appropriated funds, Rescission of appropriated funds, Research and development, Research centers, Russia, Russians, Rwanda, Forced labor, Foreign agents, Foreign exchange, Foreign leaders, Foreign service, Foreign students, Foreign Trade and International Finance, Former Soviet states, Foundations, Freedom of the press, Genocide, Georgia (Republic), Gifts, Government liability, Government Operations and Politics, Government paperwork, Governmental investigations, Greece, Grenades, Grievance procedures, Guardian and ward, Guided missiles, Harbors, Health, Higher education, Hong Kong, Human rights, Immigrants, Immigration, Independent regulatory commissions, Indonesia, Industrialization, Inspectors general, Insurgency, Inter-American Foundation, International Affairs, International agencies, International broadcasting, International competitiveness, International control of nuclear power, International cooperation, Taiwan, Tax-deferred compensation plans, Taxation, Technology transfer, Terrorism, Thailand, Tibet, Ukraine, United Kingdom, United Nations, Trade fairs, Trade negotiations, Transfer of employees, Transplantation of organs, tissues, etc., Transportation and Public Works, Transports, Travel costs, Treaties, Treaty-making power, Turkey, Turkmenistan, U.S. Agency for International Development, U.S.S.R., Crisis management, Cuba, Cultural relations, Custody of children, Data banks, Defense budgets, Defense industries, Defense procurement, Democracy, Department of Commerce, Department of Defense, Department of Energy, Department of Justice, Department of State, Desertification, Destruction of property, Diplomacy, Disasters, Disciplining of employees, Discrimination in employment, Dismissal of employees, Dissenters, Drug abuse, Drug traffic, East Asia, East Timor, Eastern Europe, Economics and Public Finance, Education, Educational exchanges, Electronic data interchange, Elementary and secondary education, Embassies, Emergency Management, Emergency medical services, Employee training, Energy, Environmental Protection, Estates (Law), Europe, Evidence (Law), Parents, Passports, Peace, Peace negotiations, Peacekeeping forces, Persian Gulf States, Personnel management, Plutonium, Police training, Political prisoners, Political violence, Population policy, President and foreign policy, Presidential appointments, Prisoners, Prosecution, Protection of foreign officials, Public corruption, Public records, Radio broadcasting, Financial statements, Fines (Penalties), Firearms, Amphibious ships, Arab-Israeli conflict, Armed Forces and National Security, Arms control agreements, Arms control negotiations, Arms control verification, Arms sales, Artificial satellites, Arts, Culture, Religion, Assassination, Auditing, Authorization, Awards, medals, prizes, Ballistic missiles, Biological weapons, Bombings, Bombs, Boundaries, Bridges, Building construction, Burma, Business education, Business ethics, Cambodia, Canada, Capital cities, Capital punishment, Caribbean area, Central Asia, Central Europe, Central Intelligence Agency, Chemical weapons, Child abuse, Child labor, Children's rights, China, Civil actions and liability, Civil Rights and Liberties, Minority Issues, Civil Service pensions, Civil-military relations, Climate change and greenhouse gases, International cooperation in science, International courts, International employees, International environmental cooperation, Torture, Tourism, Trade agreements, Iran, Iraq, Israel, Jews, Kazakhstan, Kyrgyzstan, Labor and Employment, Land mines, Language and languages, Latin America, Law, Leave of absence, Legislation, Crime and Law Enforcement, Crimes against humanity, Criminal investigation, Abortion, Accounting, Communication satellites, Compensation (Law), Compensation for victims of crime, Export controls, Export subsidies, Exports, Administration of justice, Administrative fees, Administrative procedure, Administrative remedies, Administrative responsibility, Advice and consent of the Senate, Africa (Sub-Saharan), African Development Foundation, Aggression, Alien labor, Alien property, Alliances, American economic assistance, Coast guard, Commemorations, Commerce, Commercial aircraft, International fishery management, International labor activities, International military forces, Conferences, Congress, Congress and foreign policy, Congress and military policy, Congressional investigations, Congressional office buildings, Congressional oversight, Congressional reporting requirements, Congressional witnesses, Congressional-executive relations, Conventional weapons, Corporation directors, Counseling, Exchange of persons programs, Executive reorganization, Exhibitions, Explosives, Personnel records, Philippines",-,FALSE,FALSE,FALSE,TRUE,DOS,FALSE,TRUE,FALSE,FALSE,FALSE
92,American Foreign Affairs Western Hemisphere Act,95,H.R. 4072,https://www.congress.gov/bill/95th-congress/house-bill/4072,2/24/77,2/24/77,"Flood, Daniel J. [Rep.-D-PA-11]",0,House - International Relations,"Canada, Department of State, Federal officials, Government Operations and Politics, International Affairs, Latin America, Western Hemisphere",-,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE
93,American Foreign Affairs Western Hemispheric Act,93,H.R. 7116,https://www.congress.gov/bill/93rd-congress/house-bill/7116,4/17/73,4/17/73,"Waggonner, Joe D., Jr. [Rep.-D-LA-4]",3,House - Foreign Affairs,"Department of State, International Affairs, Western Hemisphere",-,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE
94,American Foreign Affairs Western Hemispheric Act,94,H.R. 5431,https://www.congress.gov/bill/94th-congress/house-bill/5431,3/25/75,3/25/75,"Flood, Daniel J. [Rep.-D-PA-11]",0,House - Foreign Affairs,"Department of State, Government Operations and Politics, International Affairs, Western Hemisphere",-,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE
95,American Foreign Affairs Western Hemispheric Act,96,H.R. 339,https://www.congress.gov/bill/96th-congress/house-bill/339,1/15/79,1/15/79,"Flood, Daniel J. [Rep.-D-PA-11]",0,House - Foreign Affairs,"Canada, Department of State, Executive reorganization, Federal officials, International Affairs, Latin America, North America",-,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE
96,"An Act making appropriations far Foreign Assistance and related agencies far the fiscal year ending June 30, 1969, and for other purposes",90,H.R. 19908,https://www.congress.gov/bill/90th-congress/house-bill/19908,9/19/68,10/17/68,-,0,-,-,-,TRUE,TRUE,FALSE,TRUE,DOS,FALSE,FALSE,FALSE,FALSE,FALSE
97,"An Act making appropriations for Foreign Assistance and related agencies far the fiscal year ending June 30, 1967, and for other purposes",89,H.R. 17788,https://www.congress.gov/bill/89th-congress/house-bill/17788,9/16/66,10/15/66,-,0,-,-,-,TRUE,TRUE,FALSE,TRUE,DOS,FALSE,FALSE,FALSE,FALSE,FALSE
98,"An Act making appropriations for Foreign Assistance and related agencies for the fiscal year ending June 30, 1968, and for other purposes",90,H.R. 13893,https://www.congress.gov/bill/90th-congress/house-bill/13893,11/6/67,1/2/68,-,0,-,-,-,TRUE,TRUE,FALSE,TRUE,DOS,FALSE,FALSE,FALSE,FALSE,FALSE
99,"An Act making appropriations for Foreign Assistance and related programs for the fiscal year ending June 30, 1970, and for other purposes",91,H.R. 15149,https://www.congress.gov/bill/91st-congress/house-bill/15149,12/8/69,2/9/70,-,0,-,-,-,TRUE,TRUE,FALSE,TRUE,DOS,FALSE,FALSE,FALSE,FALSE,FALSE
100,"An Act making appropriations for Foreign Assistance and related programs for the fiscal year ending June 30, 1971, and for other purposes",91,H.R. 17867,https://www.congress.gov/bill/91st-congress/house-bill/17867,6/1/70,12/31/70,-,0,-,-,-,TRUE,TRUE,FALSE,TRUE,DOS,FALSE,FALSE,FALSE,FALSE,FALSE
101,"An Act making appropriations for Foreign Assistance and related programs for the fiscal year ending June 30, 1975, and for other purposes.",94,H.R. 4592,https://www.congress.gov/bill/94th-congress/house-bill/4592,3/10/75,3/26/75,"Passman, Otto E. [Rep.-D-LA-5]",0,House - Appropriations | Senate - Appropriations,"American economic assistance, American military assistance, Appropriations, Economic assistance, Economics and Public Finance, International Affairs, North Vietnam, South Vietnam, Vietnam, Vietnamese Conflict",-,TRUE,TRUE,FALSE,TRUE,DOS,FALSE,FALSE,FALSE,FALSE,FALSE
102,"An Act making appropriations for Foreign Assistance and related programs for the fiscal year ending June 30, 1976, and the period ending September 30, 1976, and for other purposes.",94,H.R. 12203,https://www.congress.gov/bill/94th-congress/house-bill/12203,3/1/76,6/30/76,"Passman, Otto E. [Rep.-D-LA-5]",0,House - Appropriations | Senate - Appropriations,"ACTION, American economic assistance, American investments, American military assistance, American technical assistance, Angola, Appropriations, Arms sales, Cambodia, Department of Health, Education, and Welfare, Department of State, Economics and Public Finance, Export-Import Bank of the United States, Foreign economic relations, Foreign Trade and International Finance, Foreign trade policy, Government Operations and Politics, International Affairs, International banking, International relations, Israel, Laos, Military assistance, North Vietnam, Refugees, South Vietnam, United Nations finances, Vietnam",-,TRUE,TRUE,FALSE,TRUE,DOS,FALSE,FALSE,FALSE,FALSE,FALSE
103,"An Act making appropriations for Foreign Assistance and related programs for the fiscal year ending September 30, 1977, and for other purposes.",94,H.R. 14260,https://www.congress.gov/bill/94th-congress/house-bill/14260,6/8/76,10/1/76,"Passman, Otto E. [Rep.-D-LA-5]",0,House - Appropriations | Senate - Appropriations,"ACTION, American economic assistance, American investments, American military assistance, American technical assistance, Appropriations, Arms sales, Cambodia, Department of Health, Education, and Welfare, Department of State, Eastern Europe, Economics and Public Finance, Export-Import Bank of the United States, Foreign economic relations, Foreign Trade and International Finance, Foreign trade policy, Government Operations and Politics, International Affairs, International banking, International relations, Laos, Military assistance, North Vietnam, Refugees, South Vietnam, U.S.S.R., United Nations finances, Uruguay, Vietnam",-,TRUE,TRUE,FALSE,TRUE,DOS,FALSE,FALSE,FALSE,FALSE,FALSE
104,"An Act making appropriations for foreign aid and related agencies for the fiscal year ending June 30, 1983, and for other purposes",87,H.R. 13175,https://www.congress.gov/bill/87th-congress/house-bill/13175,9/18/61,10/23/62,-,0,-,-,-,TRUE,TRUE,FALSE,TRUE,DOS,FALSE,FALSE,TRUE,FALSE,FALSE
105,"An Act making appropriations for foreign assistance and related agencies for the fiscal year ending June 30, 1965, and for other purposes",88,H.R. 11812,https://www.congress.gov/bill/88th-congress/house-bill/11812,6/25/64,10/7/64,-,0,-,-,-,TRUE,TRUE,FALSE,TRUE,DOS,FALSE,FALSE,FALSE,FALSE,FALSE
